product-item-link,rating-result,action,Special Price,Regular Price,differ
oraimo FreePods Pro ANC Active Noise Cancellation TWS True Wireless Earbuds,100%,11,"34,900","45,900","11,000"
oraimo Tempo W3 Smart Watch - Online Exclusive,91%,14,"17,900","29,800","11,900"
oraimo Edge 10000mAh Slim Size Dual Output Type-c & Micro USB Dual Input Power Bank,88%,10,"5,000","7,700","2,700"
oraimo SmartScale 18 Key Fitness Metrics Body Fat Weight Scale,100%,2,"8,900","10,900","2,000"
oraimo SoundView Portable Wireless Speaker,100%,1,"7,900","11,900","4,000"
oraimo SoundGo 4 Ultra-portable Wireless Speaker,100%,1,"6,500","8,900","2,400"
oraimo SmartShaver Rotary Electric Shaver With Pop-up Trimmer,98%,13,"6,500","9,200","2,700"
oraimo SmartTrimmer Multi-functional Trimmer With 4 Guided Combs,91%,34,"7,400","11,900","4,500"
oraimo Colorful Light Triple Thumping Bass SoundFlow Wireless Soundbar,100%,3,"36,900","52,900","16,000"
oraimo SmartDent Electric Toothbrush-One Free Holder Plus Two Free Replacement Brush Heads in total,100%,9,"6,900","14,900","8,000"
oraimo HyperType Wired Mechanical Keyboard With Detachable Wrist Rest,100%,2,"17,500","19,900","2,400"
oraimo SmartGimbal Intelligent Stable Shooting For Phone Handheld Gimbal Stabilizer,100%,2,"15,500","21,600","6,100"
,,,,,
,,,,,
,,,,,
,,,,,
