product-item-link,rating-result,action,Special Price,Regular Price,differ
oraimo Tempo S2 Blood Oxygen Heart Rate Smart Watch - Online Exclusive,97%,7,"13,500","19,900","6,400"
oraimo Tempo W3 Smart Watch - Online Exclusive,91%,14,"17,900","29,800","11,900"
"oraimo  1.69"" IPS Screen IP68 Waterproof Blood Oxygen 24 Fitness Modes Smart Watch Pro",100%,2,"22,500","34,900","12,400"
oraimo Watch 1.69'' IPS Screen IP68 Waterproof Smart Watch,99%,47,"18,900","28,900","10,000"
Silver edition oraimo Watch 1.69'' IPS Screen IP68 Waterproof Smart Watch,97%,45,"17,900","28,900","11,000"
oraimo Tempo W2 IP67 Waterproof 24 Training Modes Smart Watch,80%,1,"21,900","24,800","2,900"
oraimo Tempo S IP67 Waterproof Smart Watch,86%,14,"13,500","16,800","3,300"
oraimo Tempo 2S 8 Training Modes Smart Fitband,,,"8,200","12,800","4,600"
oraimo Smart Watch PU/Silica Gel Strap Wristband,,,"1,500",,"1,500"
oraimo Smart Watch Magnetic Charger Cable,,,"1,500","2,600","1,100"
